"pub_utc_date","year","month","day","hour","polygon_slug","uuid","pubmillis","country","city","street","type","subtype","roadtype","longitude","latitude","nthumbsup","reliability","reportrating","confidence","magvar","reportdescription"
"2019-06-16 01:07:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 01:42:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 01:49:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 01:50:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 18:14:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:07:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:06:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 01:30:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 01:56:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 02:02:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 18:21:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:10:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:19:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:11:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 01:20:00.000","2019","6","16","1","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 02:04:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 17:52:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:34:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:26:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 02:06:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 17:36:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:32:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:16:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:20:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:18:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:25:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:38:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:42:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 02:01:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 17:40:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:29:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:37:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:17:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:49:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:45:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:54:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:24:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:39:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:23:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:15:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 01:59:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 17:31:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:53:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:35:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:28:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 02:05:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 17:50:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:43:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:41:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:51:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:46:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:30:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 02:00:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
"2019-06-16 17:55:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:56:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:27:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 18:22:00.000","2019","6","16","18","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:48:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:44:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:33:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 17:47:00.000","2019","6","16","17","4_old","2b995b76-2aa5-3fbd-a224-187dcd0d52a7","1560706449861","UY","Montevideo","Av. Millán","WEATHERHAZARD","HAZARD_WEATHER_FLOOD",,"-56.232357","-34.828459","0","5","3","0","114",
"2019-06-16 02:03:00.000","2019","6","16","2","4_old","aa78340c-d6f8-3411-8171-bc24d0ea4be9","1560647354173","UY","Montevideo","Av. Italia","WEATHERHAZARD","HAZARD_WEATHER_FLOOD","2","-56.070735","-34.878571","0","5","3","0","249",
